season,선수명,팀,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI
2024,에레디아,SSG,0.36,136,591,541,82,195,31,1,21,291,118
2024,정준재,SSG,0.307,88,240,215,40,66,8,5,1,87,23
2024,박성한,SSG,0.301,137,564,489,78,147,24,0,10,201,67
2024,최정,SSG,0.291,129,550,468,93,136,27,2,37,278,107
2024,추신수,SSG,0.281,78,302,253,40,71,14,1,5,102,37
2024,이지영,SSG,0.279,123,432,398,45,111,11,1,5,139,50
2024,박지환,SSG,0.276,76,249,228,33,63,9,2,4,88,21
2024,최지훈,SSG,0.275,125,543,483,89,133,22,7,11,202,49
2024,오태곤,SSG,0.275,117,288,247,43,68,16,0,9,111,36
2024,고명준,SSG,0.25,106,366,340,33,85,13,0,11,131,45
2024,하재훈,SSG,0.248,107,317,290,40,72,19,0,10,121,36
2024,한유섬,SSG,0.235,132,523,464,64,109,29,0,24,210,87
2025,에레디아,SSG,0.339,96,415,375,46,127,18,0,13,184,54
2025,최지훈,SSG,0.284,140,574,517,66,147,16,4,7,192,45
2025,고명준,SSG,0.278,130,500,471,46,131,20,1,17,204,64
2025,박성한,SSG,0.274,127,538,452,73,124,23,2,7,172,48
2025,한유섬,SSG,0.273,128,511,455,50,124,24,0,15,193,71
2025,안상현,SSG,0.264,102,289,258,38,68,8,2,6,98,15
2025,정준재,SSG,0.245,132,442,371,58,91,10,3,0,107,25
2025,최정,SSG,0.244,95,406,340,54,83,12,0,23,164,63
2025,이지영,SSG,0.239,76,216,197,13,47,6,1,3,64,18
2025,조형우,SSG,0.238,102,294,269,23,64,8,0,4,84,29
2025,오태곤,SSG,0.201,122,229,194,31,39,6,0,5,60,26
