season,선수명,팀,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
2025,김성민,SSG,0.0,2,1,0,0,0,1.0,0.67,0,0,2,0,0,0,0,3.0
2025,신지환,SSG,0.0,1,0,0,0,0,,1.0,0,0,0,1,1,0,0,0.0
2025,조병현,SSG,1.6,69,5,4,30,0,0.556,67.33,42,5,18,0,79,13,12,0.89
2025,이로운,SSG,1.99,75,6,5,1,33,0.545,77.0,56,7,26,0,66,19,17,1.06
2025,노경은,SSG,2.14,77,3,6,3,35,0.333,80.0,60,2,25,3,68,22,19,1.06
2025,앤더슨,SSG,2.25,30,12,7,0,0,0.632,171.67,121,13,51,9,245,53,43,1.0
2025,김택형,SSG,2.78,25,0,0,0,1,,22.67,19,0,10,3,14,7,7,1.28
2025,화이트,SSG,2.87,24,11,4,0,0,0.733,134.67,111,9,44,8,137,51,43,1.15
2025,김민,SSG,2.97,70,5,2,1,22,0.714,63.67,60,7,17,6,65,23,21,1.21
2025,박기호,SSG,3.0,18,0,0,0,2,,24.0,23,3,12,8,13,10,8,1.46
2025,박시후,SSG,3.27,52,6,2,0,3,0.75,52.33,45,5,29,5,34,24,19,1.41
2025,김건우,SSG,3.82,35,5,4,0,2,0.556,66.0,53,2,49,7,68,31,28,1.55
2025,최민준,SSG,3.97,40,2,2,0,1,0.5,65.67,72,6,24,3,44,34,29,1.46
2025,전영준,SSG,4.61,34,1,5,0,0,0.167,52.67,48,5,26,5,55,28,27,1.41
2025,한두솔,SSG,4.95,44,2,0,1,3,1.0,36.33,46,1,19,1,27,22,20,1.79
2025,김광현,SSG,5.0,28,10,10,0,0,0.5,144.0,164,13,50,4,138,86,80,1.49
2025,문승원,SSG,5.13,23,4,7,0,0,0.364,105.33,109,16,38,5,61,61,60,1.4
2025,송영진,SSG,5.83,21,2,5,0,0,0.286,63.33,77,10,31,3,40,45,41,1.71
2025,최현석,SSG,6.23,13,0,0,0,0,,17.33,21,5,6,2,11,13,12,1.56
2025,서진용,SSG,6.75,2,0,0,0,0,,1.33,1,0,3,0,0,1,1,3.0
2025,박종훈,SSG,7.11,5,0,2,0,0,0.0,19.0,15,4,18,5,10,17,15,1.74
2025,정동윤,SSG,8.31,12,0,0,0,0,,17.33,21,2,12,0,17,16,16,1.9
